number_of_trees,mtry,min_observations,terminal_nodes,rmse
10,12,2,1,1470.9282242397373
10,12,2,2,985.9011393984988
10,12,2,5,777.2641561940876
10,12,2,10,765.0260171352955
10,12,2,15,772.001016142466
10,12,5,1,1481.342981875282
10,12,5,2,987.486206374841
10,12,5,5,787.4093599090447
10,12,5,10,772.2282312200588
10,12,5,15,784.7100311362257
10,12,10,1,1474.5103008709825
10,12,10,2,978.2030790635355
10,12,10,5,893.5841167774375
10,12,10,10,910.1904124613527
10,12,10,15,907.8027456875628
10,12,15,1,1478.7361679432272
10,12,15,2,975.8962642534374
10,12,15,5,967.9098849575287
10,12,15,10,985.9342031012687
10,12,15,15,977.2499951028568
10,13,1,1,1480.1918931335638
10,13,1,2,967.6325055144625
10,13,1,5,793.7317918530632
10,13,1,10,771.0293741826009
10,13,1,15,762.7075554990479
10,13,2,1,1482.9867896795229
10,13,2,2,962.2459865796633
10,13,2,5,777.7311753141128
10,13,2,10,759.7046918535858
10,13,2,15,768.5668208355949
10,13,5,1,1484.5333666103888
10,13,5,2,997.6487554759935
10,13,5,5,778.175962750505
10,13,5,10,782.578438978976
10,13,5,15,780.1606421139555
10,13,10,1,1478.704917507876
10,13,10,2,970.9413542911416
10,13,10,5,894.5117203221529
10,13,10,10,905.9723581268507
10,13,10,15,927.9779786500228
10,13,15,1,1480.4842041945308
10,13,15,2,970.3965762448008
10,13,15,5,973.9782373389532
10,13,15,10,984.7729956068068
10,13,15,15,993.4617079052477
10,14,1,1,1482.1142094621516
10,14,1,2,976.3459062724563
10,14,1,5,774.7697351458338
10,14,1,10,771.163375773239
10,14,1,15,768.2194773509282
10,14,2,1,1475.2791937493384
10,14,2,2,989.6179617641139
10,14,2,5,783.4921086595256
10,14,2,10,766.9877655105504
10,14,2,15,763.8080417733678
10,14,5,1,1487.5461474162237
10,14,5,2,973.3031111148703
10,14,5,5,777.3880684316176
10,14,5,10,786.0111808104074
10,14,5,15,784.633806933562
10,14,10,1,1489.248028898007
10,14,10,2,971.4665981194847
10,14,10,5,917.8125183502876
10,14,10,10,903.3334743782184
10,14,10,15,905.1459911538834
10,14,15,1,1470.9340808742531
10,14,15,2,985.7795734456996
10,14,15,5,976.1844588630196
