number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,rmse
100,100,100,0.005,5,3,1070.6046815
100,100,100,0.005,5,5,1068.0054476
100,100,100,0.005,5,8,1059.8560671
100,100,100,0.005,5,10,1143.2821839
100,100,100,0.005,20,2,1063.3025451
100,100,100,0.005,20,3,1092.8924195
100,100,100,0.005,20,5,1111.4837281
100,100,100,0.005,20,8,1000.2856995000001
100,100,100,0.005,20,10,1015.8906159
100,100,100,0.005,100,2,1012.5461273999999
100,100,100,0.005,100,3,1047.3740996
100,100,100,0.005,100,5,998.7010253999999
100,100,100,0.005,100,8,1014.4376098
100,100,100,0.005,100,10,1081.5042634
100,100,100,0.01,1,2,810.3746154
100,100,100,0.01,1,3,768.4340576
100,100,100,0.01,1,5,773.2153689
100,100,100,0.01,1,8,846.8384873
100,100,100,0.01,1,10,849.0421341
100,100,100,0.01,5,2,785.9484954
100,100,100,0.01,5,3,792.8556611
100,100,100,0.01,5,5,695.6124726
100,100,100,0.01,5,8,769.1638108
100,100,100,0.01,5,10,761.6306518
100,100,100,0.01,20,2,765.8169434
100,100,100,0.01,20,3,725.9653045
100,100,100,0.01,20,5,724.7149888
100,100,100,0.01,20,8,877.4373138999999
100,100,100,0.01,20,10,808.2491335
100,100,100,0.01,100,2,799.0416077
100,100,100,0.01,100,3,869.1180635
100,100,100,0.01,100,5,862.0915039
100,100,100,0.01,100,8,746.6838624
100,100,100,0.01,100,10,831.3785857
100,100,100,0.03,1,2,515.3665619
100,100,100,0.03,1,3,494.4682922
100,100,100,0.03,1,5,450.13909309999997
100,100,100,0.03,1,8,462.6592552
100,100,100,0.03,1,10,524.371794
100,100,100,0.03,5,2,509.5556488
100,100,100,0.03,5,3,482.8112059
100,100,100,0.03,5,5,531.4972657
100,94,94,0.03,5,8,471.4553055
100,100,100,0.03,5,10,530.5169023
100,100,100,0.03,20,2,483.9467071
100,100,100,0.03,20,3,412.1446349
100,96,96,0.03,20,5,425.2393432
100,100,100,0.03,20,8,499.8468309
100,94,94,0.03,20,10,468.1526963
100,100,100,0.03,100,2,561.4294525
100,100,100,0.03,100,3,480.194432
100,100,100,0.03,100,5,418.0830176
100,100,100,0.03,100,8,582.2406252
100,100,100,0.03,100,10,505.2474251
100,55,55,0.05,1,2,425.6504112
100,67,67,0.05,1,3,572.3188019
100,100,100,0.05,1,5,435.1854599
100,56,56,0.05,1,8,406.2029701
100,56,56,0.05,1,10,424.0283173
100,100,100,0.05,5,2,424.6173584
100,56,56,0.05,5,3,472.57699279999997
100,66,66,0.05,5,5,431.6276039
100,85,85,0.05,5,8,457.9104675
100,100,100,0.05,5,10,451.053062
100,82,82,0.05,20,2,552.1549071
100,79,79,0.05,20,3,469.956671
100,100,100,0.05,20,5,409.09077759999997
100,53,53,0.05,20,8,503.6406539
100,100,100,0.05,20,10,405.8314378
100,99,99,0.05,100,2,418.9078964
100,99,99,0.05,100,3,414.8127106
100,100,100,0.05,100,5,431.4818826
100,68,68,0.05,100,8,501.9300079
100,100,100,0.05,100,10,458.4344179
100,100,100,0.1,1,2,429.5587296
100,29,29,0.1,1,3,521.6567107
100,53,53,0.1,1,5,542.3616837
100,37,37,0.1,1,8,503.71662449999997
100,25,25,0.1,1,10,431.7028946
100,52,52,0.1,5,2,448.5113556
100,46,46,0.1,5,3,510.06922579999997
100,54,54,0.1,5,5,401.2783966
100,50,50,0.1,5,8,393.2712248
100,49,49,0.1,5,10,477.5317565
100,27,27,0.1,20,2,528.5617553
100,45,45,0.1,20,3,483.1346466
100,33,33,0.1,20,5,432.2312834
100,48,48,0.1,20,8,540.6404846
100,47,47,0.1,20,10,477.5251343
100,28,28,0.1,100,2,463.4184677
100,28,28,0.1,100,3,537.1617553
100,48,48,0.1,100,5,449.0791473
100,54,54,0.1,100,8,437.5534424
100,28,28,0.1,100,10,413.6091889
500,500,500,0.001,1,2,1039.8136599
500,500,500,0.001,1,3,1143.0896454
500,500,500,0.001,1,5,1048.1290498
500,500,500,0.001,1,8,1103.4510099
500,500,500,0.001,1,10,1066.9709533
500,500,500,0.001,5,2,1035.8384001
500,500,500,0.001,5,3,1128.9624633
500,500,500,0.001,5,5,1152.8815217
500,500,500,0.001,5,8,1063.8449402
500,500,500,0.001,5,10,1045.2387909
500,500,500,0.001,20,2,1054.9202515
500,500,500,0.001,20,3,1048.6977662
500,500,500,0.001,20,5,1114.1912995
500,500,500,0.001,20,8,994.6990786
500,500,500,0.001,20,10,1092.6886322
500,500,500,0.001,100,2,970.5096832
500,500,500,0.001,100,3,1076.7919646999999
500,500,500,0.001,100,5,1109.2039154
500,500,500,0.001,100,8,1104.6284271
500,500,500,0.001,100,10,964.4613586
500,500,500,0.003,1,2,656.7007662
500,500,500,0.003,1,3,652.459491
500,500,500,0.003,1,5,620.0474272
500,500,500,0.003,1,8,568.3023253
500,500,500,0.003,1,10,643.5849914
500,500,500,0.003,5,2,684.5533953
500,500,500,0.003,5,3,663.7953736000001
500,500,500,0.003,5,5,571.9771179
500,500,500,0.003,5,8,610.408969
500,500,500,0.003,5,10,609.4639145
500,500,500,0.003,20,2,638.8434815
500,500,500,0.003,20,3,750.5432236
500,500,500,0.003,20,5,635.7347809
500,500,500,0.003,20,8,624.7288347
500,500,500,0.003,20,10,675.1437012
500,500,500,0.003,100,2,660.0897186
500,500,500,0.003,100,3,640.4000977000001
500,500,500,0.003,100,5,687.976455
500,500,500,0.003,100,8,688.1890106
500,500,500,0.003,100,10,603.1449006
500,500,500,0.005,1,2,563.3599608000001
500,500,500,0.005,1,3,469.512906
500,500,500,0.005,1,5,521.7508423
500,499,499,0.005,1,8,517.868016
500,500,500,0.005,1,10,537.67725
500,500,500,0.005,5,2,507.8233451
500,500,500,0.005,5,3,419.0385445
500,500,500,0.005,5,5,467.3871794
500,500,500,0.005,5,8,497.190999
500,500,500,0.005,5,10,391.674794
500,500,500,0.005,20,2,534.4826448
500,500,500,0.005,20,3,485.9399156
500,500,500,0.005,20,5,461.8459702
500,500,500,0.005,20,8,494.0227843
500,500,500,0.005,20,10,549.2628021
500,500,500,0.005,100,2,503.5974823
500,500,500,0.005,100,3,505.2126463
500,500,500,0.005,100,5,573.0446198
500,478,478,0.005,100,8,560.2933852
500,500,500,0.005,100,10,502.997712
500,490,490,0.01,1,2,562.8931122
500,289,289,0.01,1,3,466.9897323
500,362,362,0.01,1,5,469.2861084
500,326,326,0.01,1,8,513.9317656000001
500,455,455,0.01,1,10,503.4476074
500,499,499,0.01,5,2,441.704419
500,271,271,0.01,5,3,455.4547182
500,311,311,0.01,5,5,467.2400277
500,433,433,0.01,5,8,504.6879265
500,500,500,0.01,5,10,523.7616006000001
500,500,500,0.01,20,2,517.8121076
500,500,500,0.01,20,3,376.3542721
500,484,484,0.01,20,5,514.8423965
500,500,500,0.01,20,8,495.1149689
500,500,500,0.01,20,10,485.1585922
500,383,383,0.01,100,2,476.833615
500,398,398,0.01,100,3,415.1833374
500,372,372,0.01,100,5,468.72977
500,280,280,0.01,100,8,440.3572676
